analysis_window,metric_column,metric_label,risk,cause,location_name,selected_breakpoint_count,selected_breakpoint_years,segment_index,year_start,year_end,n_years,slope_log_linear,slope_se,p_value,apc_percent,apc_lower,apc_upper,segment_sse,model_bic
1990-2021,deaths_asr,Deaths ASR,pm25,lri,China,1,2014,2,2014,2021,8,-0.08446276460898054,0.007337470632632872,1.1591491161830085e-30,-8.099412571717135,-9.4116172654656,-6.768200129885327,0.013567295771756959,-187.57830715287957
1990-2021,deaths_asr,Deaths ASR,pm25,lri,East Asia,1,2014,1,1990,2013,24,-0.02381753249269352,0.0011437304553163128,2.600120340856231e-96,-2.3536133568804463,-2.5722632369799325,-2.1344727769899596,0.03309541966677692,-191.64736078478109
1990-2021,deaths_asr,Deaths ASR,pm25,lri,East Asia,1,2014,2,2014,2021,8,-0.08408355019207804,0.007338031639194151,2.1293520107889076e-30,-8.064555935390716,-9.377357976691236,-6.732736028784537,0.013569370501129227,-191.64736078478109
1990-2021,deaths_asr,Deaths ASR,pm25,lri,Global,1,2014,1,1990,2013,24,-0.015009065985445259,0.0006707937451009967,6.882899700474786e-111,-1.4896991366959655,-1.6191310159467287,-1.3600969742230684,0.011384095486205508,-205.9151358960015
1990-2021,deaths_asr,Deaths ASR,pm25,lri,Global,1,2014,2,2014,2021,8,-0.04149580016350927,0.008566706125888779,1.2735002923048111e-06,-4.064663553972093,-5.662041121769934,-2.440238389168281,0.01849389036952976,-205.9151358960015
1990-2021,deaths_asr,Deaths ASR,pm25,lri,High SDI,1,2014,1,1990,2013,24,-0.027497800569928885,0.0013251268753870107,1.1989333812996232e-95,-2.7123177674360677,-2.9646702183898532,-2.459309042528801,0.04442581926758543,-184.8501387277404
1990-2021,deaths_asr,Deaths ASR,pm25,lri,High SDI,1,2014,2,2014,2021,8,-0.058218990272235725,0.007260078375819797,1.0655910270166553e-15,-5.655668009655024,-6.988658056467689,-4.303574244653019,0.013282601981807647,-184.8501387277404
1990-2021,deaths_asr,Deaths ASR,pm25,lri,Japan,1,2014,1,1990,2013,24,-0.02388834122069049,0.0016164426656962029,2.020821126669915e-49,-2.3605273285244865,-2.6693818839941597,-2.050692699792356,0.06610603835452107,-175.00635131565124
1990-2021,deaths_asr,Deaths ASR,pm25,lri,Japan,1,2014,2,2014,2021,8,-0.12200040012825514,0.00701130184544972,8.173657720678168e-68,-11.485198567017429,-12.693262677063622,-10.260418463008659,0.012387905099137677,-175.00635131565124
1990-2021,deaths_asr,Deaths ASR,pm25,lri,Republic of Korea,1,2003,1,1990,2002,13,-0.03560065748120514,0.003487923898668597,1.8479791293306893e-24,-3.497440770436766,-4.154914278554123,-2.8354571571781673,0.0243555574720529,-136.30255618132657
1990-2021,deaths_asr,Deaths ASR,pm25,lri,Republic of Korea,1,2003,2,2003,2021,19,0.04697333481419507,0.00496363880435738,2.9783950386802935e-21,4.809406108415826,3.794687445803513,5.834044873777056,0.2387394116453857,-136.30255618132657
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,China,1,2007,1,1990,2006,17,0.019381546501478747,0.0009463543348669539,3.2318474826264406e-93,1.9570588004321987,1.7681185739675032,2.1463498087495925,0.0054809895459834255,-157.4466260322238
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,China,1,2007,2,2007,2021,15,-0.09678136874821101,0.0059852784652081135,8.222848139282097e-59,-9.224555206903895,-10.283233289395744,-8.153384484257465,0.1303977522341457,-157.4466260322238
