risk,cause,location_name,year,deaths_count_all_age,deaths_count_lower,deaths_count_upper,deaths_asr,deaths_asr_lower,deaths_asr_upper,dalys_asdr,dalys_asdr_lower,dalys_asdr_upper,deaths_count_from_age_sex_sum,deaths_count_difference_vs_baseline,dalys_count_from_age_sex_sum,dalys_count_ui_note,population_total_from_age_sex
ozone,copd,China,2012,114912.23874046357,27005.030660879387,199655.89763940746,8.8285432882419,2.076867536217953,15.313436451356422,131.72227148197115,30.75817728848295,228.6107282620969,114912.23874046355,-1.4551915228366852e-11,1873934.8951179562,point_estimate_sum_from_age_sex_only,1354612582.056199
ozone,copd,China,2013,99849.99438336171,23324.00667148527,170568.41172902993,7.354488094258674,1.714218558748445,12.671227205274935,108.58287415206351,25.138268074841317,185.39628107126555,99849.99438336177,5.820766091346741e-11,1604433.0902445384,point_estimate_sum_from_age_sex_only,1363222750.5771422
ozone,copd,China,2014,92846.55878334564,21735.718829612855,160794.65813765835,6.528050365655395,1.5359576981824061,11.357727979254692,95.46790955569776,22.156387922669595,166.2754470677698,92846.5587833456,-4.3655745685100555e-11,1471371.0409378903,point_estimate_sum_from_age_sex_only,1372033341.6458244
ozone,copd,China,2015,97581.54508719742,23333.49467171866,171023.13732604522,6.535163849023558,1.5713126696033344,11.400923565808718,95.48333727840533,22.556792352774377,166.75772724862253,97581.54508719746,4.3655745685100555e-11,1536803.0673615935,point_estimate_sum_from_age_sex_only,1381422551.1668398
ozone,copd,China,2016,109899.69925855474,25819.99215300819,197233.11946550285,7.0261300206078445,1.6595376936360053,12.582413200224789,102.36203669465232,23.719868249619587,183.23250627856208,109899.69925855479,4.3655745685100555e-11,1717921.9573676558,point_estimate_sum_from_age_sex_only,1391679368.0172982
ozone,copd,China,2017,115262.78641993862,26880.83524532096,207091.21690036068,7.064577343974838,1.6580985254929788,12.736702786316041,102.54828626248793,23.627686422027864,184.0953152416919,115262.78641993861,-1.4551915228366852e-11,1788120.1520304224,point_estimate_sum_from_age_sex_only,1401733000.1579177
ozone,copd,China,2018,93677.96715276343,20833.966061932646,172233.22368965152,5.512066734210282,1.227736186052407,10.090167142979189,79.72021851397027,17.763352690379058,146.21597431672913,93677.96715276346,2.9103830456733704e-11,1441887.550142675,point_estimate_sum_from_age_sex_only,1410660623.9968188
ozone,copd,China,2019,90003.83522765568,19905.993756398308,167676.18918514778,5.0454510246186555,1.1206905372558065,9.433026699864746,72.91342832425316,15.853745129268965,134.56424407409915,90003.83522765567,-1.4551915228366852e-11,1377330.1150120627,point_estimate_sum_from_age_sex_only,1418278589.3263948
ozone,copd,China,2020,82047.98205153015,18314.388407037703,153980.798527156,4.381070028149742,0.9820938391315561,8.23157383812814,63.0127038279318,14.095666723566257,117.57710430151515,82047.98205153014,-1.4551915228366852e-11,1241815.5791355164,point_estimate_sum_from_age_sex_only,1424285105.745538
ozone,copd,China,2021,84730.04258090052,19178.154132635344,163845.46647027013,4.313120143434056,0.9765122951878102,8.400095097811077,61.68109203646975,13.774740254760438,118.64433256857016,84730.04258090055,2.9103830456733704e-11,1268662.3820532765,point_estimate_sum_from_age_sex_only,1428242111.8436139
ozone,copd,East Asia,1990,67397.57562018915,16529.79103760209,130775.94121748758,10.77794094861449,2.6260775048550427,20.614596080874428,178.55694018813446,43.85815438478663,345.9493802197427,67397.57562018913,-1.4551915228366852e-11,1324746.2756863206,point_estimate_sum_from_age_sex_only,1220394792.6352584
