analysis_window,period_label,risk,cause,measure,location_name,sex_name,start_year,end_year,breakpoint_year,paf_variant,time_path_variant,total_start,total_end,delta_total,observed_total_start,observed_total_end,observed_identity_gap_start,observed_identity_gap_end,population_total_start,population_total_end,population_growth_contribution,aging_contribution,underlying_rate_change_contribution,paf_change_contribution,population_growth_percent_of_delta,aging_percent_of_delta,underlying_rate_change_percent_of_delta,paf_change_percent_of_delta,residual
main,main_pre_break,ozone,copd,deaths,China,Both,1990,2007,2007,capped,endpoint_direct,66508.19692268662,155569.3112471312,89061.11432444458,66508.19692268662,155569.3112471312,0.0,0.0,1179137926.6356301,1311423761.7638988,11586.327485229624,56583.1084163734,-29379.62799352042,50271.306416362,13.009412214427602,63.5328996785784,-32.988165729088124,56.44585383608214,-1.4551915228366852e-11
main,main_post_break,ozone,copd,deaths,China,Both,2007,2021,2007,capped,endpoint_direct,155569.3112471312,84730.04258090055,-70839.26866623065,155569.3112471312,84730.04258090055,0.0,0.0,1311423761.7638988,1428242111.8436134,10959.338167719636,75344.844592386,-97987.15159468986,-59156.299831646415,-15.470710488777243,-106.36028012568002,138.32321174343335,83.5077788710239,-1.4551915228366852e-11
sensitivity,sensitivity_overall_1990_2019,ozone,copd,deaths,China,Both,1990,2019,,capped,endpoint_direct,66508.19692268662,90003.83522765567,23495.63830496905,66508.19692268662,90003.83522765565,0.0,-1.4551915228366852e-11,1179137926.6356301,1418278589.326395,16631.161571365825,88723.02483682905,-88114.94168423406,6256.393581008216,70.78403810739856,377.6148733872243,-375.02680514791035,26.627893653287398,1.8189894035458565e-11
sensitivity,sensitivity_pre_break,ozone,copd,deaths,China,Both,1990,2007,2007,capped,endpoint_direct,66508.19692268662,155569.3112471312,89061.11432444458,66508.19692268662,155569.3112471312,0.0,0.0,1179137926.6356301,1311423761.7638988,11586.327485229624,56583.1084163734,-29379.62799352042,50271.306416362,13.009412214427602,63.5328996785784,-32.988165729088124,56.44585383608214,-1.4551915228366852e-11
sensitivity,sensitivity_post_break,ozone,copd,deaths,China,Both,2007,2019,2007,capped,endpoint_direct,155569.3112471312,90003.83522765567,-65565.47601947554,155569.3112471312,90003.83522765565,0.0,-1.4551915228366852e-11,1311423761.7638988,1418278589.326395,10101.370523760195,63403.667058178304,-88396.6984179751,-50673.81518343889,-15.406538832662008,-96.70282427194597,134.8220188193521,77.28734428525581,-4.3655745685100555e-11
main,main_overall_1990_2021,ozone,copd,deaths,East Asia,Both,1990,2021,,capped,endpoint_direct,67397.57562018913,87741.99555408338,20344.41993389424,67397.57562018913,87741.99555408338,0.0,0.0,1220394792.6352584,1478025007.6619742,17566.718230025555,97739.85957189207,-95823.38721901101,861.2293509876499,86.34661635527404,480.4258852770501,-471.0057476712186,4.233246038894543,-2.1827872842550278e-11
main,main_pre_break,ozone,copd,deaths,East Asia,Both,1990,2007,2007,capped,endpoint_direct,67397.57562018913,157593.19465343878,90195.61903324965,67397.57562018913,157593.19465343878,0.0,0.0,1220394792.6352584,1359303771.5458698,11896.304019240166,57368.658109864045,-29645.98363990438,50576.64054404981,13.189447721241008,63.604705777024165,-32.8685405762066,56.074387077941424,0.0
main,main_post_break,ozone,copd,deaths,East Asia,Both,2007,2021,2007,capped,endpoint_direct,157593.19465343878,87741.99555408338,-69851.1990993554,157593.19465343878,87741.99555408338,0.0,0.0,1359303771.5458698,1478025007.6619742,10970.01059205242,76163.7321505707,-98374.70619552866,-58610.235646449866,-15.70482788197927,-109.03711479918394,140.83467064839047,83.90727203277277,1.4551915228366852e-11
sensitivity,sensitivity_overall_1990_2019,ozone,copd,deaths,East Asia,Both,1990,2019,,capped,endpoint_direct,67397.57562018913,93086.69471395457,25689.119093765432,67397.57562018913,93086.69471395457,0.0,0.0,1220394792.6352584,1468089083.2620585,17005.920974678902,90242.13312796484,-88825.92054708746,7266.985538209144,66.1989261391455,351.2854325544622,-345.7725437095462,28.288185015938478,0.0
sensitivity,sensitivity_pre_break,ozone,copd,deaths,East Asia,Both,1990,2007,2007,capped,endpoint_direct,67397.57562018913,157593.19465343878,90195.61903324965,67397.57562018913,157593.19465343878,0.0,0.0,1220394792.6352584,1359303771.5458698,11896.304019240166,57368.658109864045,-29645.98363990438,50576.64054404981,13.189447721241008,63.604705777024165,-32.8685405762066,56.074387077941424,0.0
sensitivity,sensitivity_post_break,ozone,copd,deaths,East Asia,Both,2007,2019,2007,capped,endpoint_direct,157593.19465343878,93086.69471395457,-64506.499939484216,157593.19465343878,93086.69471395457,0.0,0.0,1359303771.5458698,1468089083.2620585,10128.348108152974,64125.930141396915,-88488.28383433532,-50272.4943546988,-15.701282998852406,-99.41002875920361,137.1773137859739,77.93399797208215,1.4551915228366852e-11
main,main_overall_1990_2021,ozone,copd,deaths,Global,Both,1990,2021,,capped,endpoint_direct,172676.15932937668,381485.2345763597,208809.075246983,172676.15932937668,381485.2345763597,0.0,0.0,5336096932.229505,7922763197.366717,108158.1959855325,140310.3121353408,-137073.48175571387,97414.0488818235,51.797650967804486,67.19550477841028,-65.64536603286088,46.65221028664605,8.731149137020111e-11
main,main_pre_break,ozone,copd,deaths,Global,Both,1990,2009,2009,capped,endpoint_direct,172676.15932937668,352861.9329867532,180185.7736573765,172676.15932937668,352861.93298675324,0.0,5.820766091346741e-11,5336096932.229505,6870903465.192087,64078.07932767988,72464.20262307303,-34851.17230286481,78494.6640094884,35.562230040160905,40.21638398648709,-19.341800185143565,43.563186158495576,0.0
main,main_post_break,ozone,copd,deaths,Global,Both,2009,2021,2009,capped,endpoint_direct,352861.9329867532,381485.2345763597,28623.301589606504,352861.93298675324,381485.2345763597,5.820766091346741e-11,0.0,6870903465.192087,7922763197.366717,53095.736640124866,88635.97421764913,-128421.31942137763,15312.910153210187,185.498295764052,309.6636980893707,-448.6600506910394,53.49805683761689,-4.3655745685100555e-11
sensitivity,sensitivity_overall_1990_2019,ozone,copd,deaths,Global,Both,1990,2019,,capped,endpoint_direct,172676.15932937668,404051.90610488405,231375.74677550737,172676.15932937668,404051.90610488405,0.0,0.0,5336096932.229505,7769115347.662649,104753.5666259722,133456.46692767527,-103987.09750578548,97152.81072764525,45.274220866204054,57.67954022301291,-44.94295489262282,41.989193803405804,1.4551915228366852e-10
sensitivity,sensitivity_pre_break,ozone,copd,deaths,Global,Both,1990,2009,2009,capped,endpoint_direct,172676.15932937668,352861.9329867532,180185.7736573765,172676.15932937668,352861.93298675324,0.0,5.820766091346741e-11,5336096932.229505,6870903465.192087,64078.07932767988,72464.20262307303,-34851.17230286481,78494.6640094884,35.562230040160905,40.21638398648709,-19.341800185143565,43.563186158495576,0.0
sensitivity,sensitivity_post_break,ozone,copd,deaths,Global,Both,2009,2019,2009,capped,endpoint_direct,352861.9329867532,404051.90610488405,51189.973118130874,352861.93298675324,404051.90610488405,5.820766091346741e-11,0.0,6870903465.192087,7769115347.662649,46787.51251325111,76757.92303524706,-85489.03536289981,13133.572932532532,91.39975988125599,149.9471837152818,-167.00347774283284,25.6565341462951,-1.4551915228366852e-11
main,main_overall_1990_2021,ozone,copd,deaths,High SDI,Both,1990,2021,,capped,endpoint_direct,65108.327597468306,89501.35255216774,24393.02495469943,65108.3275974683,89501.35255216775,-7.275957614183426e-12,1.4551915228366852e-11,2057966635.6512623,2530226036.8233757,16661.13366895101,51216.31450582253,-46794.22273995904,3309.7995198849526,68.30285993595544,209.9629488386001,-191.8344396681475,13.568630893592,-1.8189894035458565e-11
main,main_pre_break,ozone,copd,deaths,High SDI,Both,1990,2009,2009,capped,endpoint_direct,65108.327597468306,109707.21024892267,44598.88265145436,65108.3275974683,109707.21024892267,-7.275957614183426e-12,0.0,2057966635.6512623,2360497587.0539675,11857.691456603823,30816.54354386491,-18024.128930745163,19948.77658173079,26.587418230346955,69.09712017832355,-40.413857610752046,44.72931920208155,0.0
main,main_post_break,ozone,copd,deaths,High SDI,Both,2009,2021,2009,capped,endpoint_direct,109707.21024892267,89501.35255216774,-20205.85769675493,109707.21024892267,89501.35255216775,0.0,1.4551915228366852e-11,2360497587.0539675,2530226036.8233757,7033.24497608019,29014.870614984397,-37853.62102746814,-18400.352260351374,-34.807950652892764,-143.59633256075142,187.33983776173704,91.06444545190713,0.0
sensitivity,sensitivity_overall_1990_2019,ozone,copd,deaths,High SDI,Both,1990,2019,,capped,endpoint_direct,65108.327597468306,94574.66127363055,29466.33367616225,65108.3275974683,94574.66127363055,-7.275957614183426e-12,0.0,2057966635.6512623,2514046105.809277,16404.351319718753,48603.37131188777,-39478.4657311779,3937.076775733645,55.67150463985136,164.94543178002172,-133.97820768966344,13.361271269790418,-1.8189894035458565e-11
sensitivity,sensitivity_pre_break,ozone,copd,deaths,High SDI,Both,1990,2009,2009,capped,endpoint_direct,65108.327597468306,109707.21024892267,44598.88265145436,65108.3275974683,109707.21024892267,-7.275957614183426e-12,0.0,2057966635.6512623,2360497587.0539675,11857.691456603823,30816.54354386491,-18024.128930745163,19948.77658173079,26.587418230346955,69.09712017832355,-40.413857610752046,44.72931920208155,0.0
sensitivity,sensitivity_post_break,ozone,copd,deaths,High SDI,Both,2009,2019,2009,capped,endpoint_direct,109707.21024892267,94574.66127363055,-15132.548975292113,109707.21024892267,94574.66127363055,0.0,0.0,2360497587.0539675,2514046105.809277,6508.774078292892,25291.240965028763,-28622.51393123213,-18310.050087381638,-43.011749632663914,-167.13140004584423,189.1453579827559,120.99779169575223,0.0
main,main_overall_1990_2021,ozone,copd,deaths,Japan,Both,1990,2021,,capped,endpoint_direct,1037.0609601526414,2843.664791567348,1806.6038314147065,1037.0609601526414,2843.6647915673484,0.0,4.547473508864641e-13,123687380.71854454,125509256.85290577,31.658486665831614,2470.6172101774705,-1801.523354194096,1105.8514887655012,1.7523757071322403,136.7547863685638,-99.71878299313514,61.21162091743913,-6.821210263296962e-13
main,main_pre_break,ozone,copd,deaths,Japan,Both,1990,2010,2010,capped,endpoint_direct,1037.0609601526414,2626.189399408455,1589.1284392558134,1037.0609601526414,2626.189399408455,0.0,0.0,123687380.71854454,127965040.22379117,65.22546240731043,1579.5794906678802,-1209.4715417142631,1153.7950278948863,4.104480216706424,99.3991078158286,-76.10911187774457,72.60552384520958,-4.547473508864641e-13
main,main_post_break,ozone,copd,deaths,Japan,Both,2010,2021,2010,capped,endpoint_direct,2626.189399408455,2843.664791567348,217.4753921588931,2626.189399408455,2843.6647915673484,0.0,4.547473508864641e-13,127965040.22379117,125509256.85290577,-54.019015433195285,1163.65140508138,-612.9972522651163,-279.1597452241751,-24.83913922257816,535.0726781222155,-281.8697077309992,-128.36383116863806,-2.5579538487363607e-13
sensitivity,sensitivity_overall_1990_2019,ozone,copd,deaths,Japan,Both,1990,2019,,capped,endpoint_direct,1037.0609601526414,2953.5338925448978,1916.4729323922563,1037.0609601526414,2953.5338925448978,0.0,0.0,123687380.71854454,126394432.30613585,46.963944767997056,2380.227696225025,-1620.297305818084,1109.5785972173187,2.450540468076105,124.19834666038732,-84.5457965219228,57.89690939345938,-2.2737367544323206e-13
sensitivity,sensitivity_pre_break,ozone,copd,deaths,Japan,Both,1990,2010,2010,capped,endpoint_direct,1037.0609601526414,2626.189399408455,1589.1284392558134,1037.0609601526414,2626.189399408455,0.0,0.0,123687380.71854454,127965040.22379117,65.22546240731043,1579.5794906678802,-1209.4715417142631,1153.7950278948863,4.104480216706424,99.3991078158286,-76.10911187774457,72.60552384520958,-4.547473508864641e-13
sensitivity,sensitivity_post_break,ozone,copd,deaths,Japan,Both,2010,2019,2010,capped,endpoint_direct,2626.189399408455,2953.5338925448978,327.3444931364429,2626.189399408455,2953.5338925448978,0.0,0.0,127965040.22379117,126394432.30613585,-34.87300033586041,1020.0873496426126,-380.12659380913107,-277.7432623611782,-10.653302886425749,311.6250222720021,-116.12432827782067,-84.8473911077557,0.0
