analysis_window,period_label,risk,cause,measure,location_name,sex_name,start_year,end_year,breakpoint_year,paf_variant,time_path_variant,total_start,total_end,delta_total,observed_total_start,observed_total_end,observed_identity_gap_start,observed_identity_gap_end,population_total_start,population_total_end,population_growth_contribution,aging_contribution,underlying_rate_change_contribution,paf_change_contribution,population_growth_percent_of_delta,aging_percent_of_delta,underlying_rate_change_percent_of_delta,paf_change_percent_of_delta,residual
sensitivity,sensitivity_pre_break,pm25,lri,dalys,East Asia,Both,1990,2001,2001,raw_common_age_set,endpoint_direct,2746114.192622871,1518806.6172908756,-1227307.5753319955,2746114.1926228707,1518806.6172908756,-4.656612873077393e-10,0.0,1220394792.6352584,1309838130.4263263,153411.8253183313,-757510.7938926974,-1256419.9320911828,633211.3253335535,-12.499867873530587,61.721349164473736,102.37205060445523,-51.59353189539837,0.0
sensitivity,sensitivity_post_break,pm25,lri,dalys,East Asia,Both,2001,2019,2001,raw_common_age_set,endpoint_direct,1518806.6172908756,650986.0981322944,-867820.5191585813,1518806.6172908756,650986.0981322944,0.0,0.0,1309838130.4263263,1468089083.2620585,142388.7561736284,145668.71016229756,-1768473.332388432,612595.346893925,-16.407627272017635,-16.785580306805212,203.78330465187696,-70.59009707305415,-2.3283064365386963e-10
main,main_overall_1990_2021,pm25,lri,dalys,Global,Both,1990,2021,,raw_common_age_set,endpoint_direct,15907490.172974393,8858741.05112108,-7048749.1218533125,15907490.172974393,8858741.05112108,0.0,0.0,5336096932.229505,7922763197.366717,5375858.625716195,-2620297.8001271137,-13653470.1877404,3849160.240298005,-76.26684583012556,37.17394043722419,193.70061200519112,-54.60770661228972,1.862645149230957e-09
main,main_pre_break,pm25,lri,dalys,Global,Both,1990,2014,2014,raw_common_age_set,endpoint_direct,15907490.172974393,12011694.954399427,-3895795.2185749654,15907490.172974393,12011694.954399427,0.0,0.0,5336096932.229505,7321445831.531866,4664120.386383041,-1935660.1076453626,-10451996.056099202,3827740.5587865585,-119.72190848596809,49.68587923760027,268.2891545804201,-98.25312533205222,4.656612873077393e-10
main,main_post_break,pm25,lri,dalys,Global,Both,2014,2021,2014,raw_common_age_set,endpoint_direct,12011694.954399427,8858741.05112108,-3152953.903278347,12011694.954399427,8858741.05112108,0.0,0.0,7321445831.531866,7922763197.366717,827138.0042935008,-496811.00035638316,-3740811.573177986,257530.66596252052,-26.23374872158668,15.757001706869675,118.64466427144404,-8.167917256727028,4.656612873077393e-10
sensitivity,sensitivity_overall_1990_2019,pm25,lri,dalys,Global,Both,1990,2019,,raw_common_age_set,endpoint_direct,15907490.172974393,11199151.927651199,-4708338.245323194,15907490.172974393,11199151.927651199,0.0,0.0,5336096932.229505,7769115347.662649,5457642.4812727505,-2391512.2250787495,-11693559.732773162,3919091.231255965,-115.91440964747683,50.79312701151506,248.35853168341097,-83.23724904744915,1.862645149230957e-09
sensitivity,sensitivity_pre_break,pm25,lri,dalys,Global,Both,1990,2012,2012,raw_common_age_set,endpoint_direct,15907490.172974393,11536121.623867925,-4371368.5491064675,15907490.172974393,11536121.623867925,0.0,0.0,5336096932.229505,7139673344.797421,4179146.7270310745,-1830467.324343351,-9604125.73688786,2884077.7850936707,-95.60270839861616,41.87401047933853,219.70523942326935,-65.97654150399175,-2.7939677238464355e-09
sensitivity,sensitivity_post_break,pm25,lri,dalys,Global,Both,2012,2019,2012,raw_common_age_set,endpoint_direct,11536121.623867925,11199151.927651199,-336969.6962167267,11536121.623867925,11199151.927651199,0.0,0.0,7139673344.797421,7769115347.662649,963251.6867714027,-298348.7406310411,-1737938.4921878239,736065.8498307345,-285.85706595760894,88.53874516928491,515.7551292297943,-218.43680844146996,1.0477378964424133e-09
main,main_overall_1990_2021,pm25,lri,dalys,High SDI,Both,1990,2021,,raw_common_age_set,endpoint_direct,2584620.291625652,1145327.1612040987,-1439293.1304215533,2584620.291625652,1145327.1612040985,0.0,-2.3283064365386963e-10,2057966635.6512623,2530226036.8233757,408004.88751692843,45878.75551879072,-2094385.1946333067,201208.4211760343,-28.347588055077306,-3.1875894179633395,145.51484686235418,-13.979669389313527,0.0
main,main_pre_break,pm25,lri,dalys,High SDI,Both,1990,1998,1998,raw_common_age_set,endpoint_direct,2584620.291625652,2110948.5655402807,-473671.72608537134,2584620.291625652,2110948.5655402807,0.0,0.0,2057966635.6512623,2183120948.069537,138798.83932257516,-194357.94250963817,-620927.6424233918,202815.01952508336,-29.302749494817643,41.032202642935125,131.08817947716813,-42.81763262528559,1.1641532182693481e-10
main,main_post_break,pm25,lri,dalys,High SDI,Both,1998,2021,1998,raw_common_age_set,endpoint_direct,2110948.5655402807,1145327.1612040987,-965621.4043361819,2110948.5655402807,1145327.1612040985,0.0,-2.3283064365386963e-10,2183120948.069537,2530226036.8233757,250402.93957102954,264886.7400135739,-1431322.1814838534,-49588.90243693191,-25.931792568658878,-27.43173865285958,148.22809178177013,5.135439439748323,-1.1641532182693481e-10
sensitivity,sensitivity_overall_1990_2019,pm25,lri,dalys,High SDI,Both,1990,2019,,raw_common_age_set,endpoint_direct,2584620.291625652,1347212.2870548754,-1237408.0045707766,2584620.291625652,1347212.2870548756,0.0,2.3283064365386963e-10,2057966635.6512623,2514046105.809277,418012.959717839,85200.36655927968,-1996742.3453596625,256121.01451176696,-33.781336323489874,-6.88538996390551,161.3649126225168,-20.698186335121406,2.3283064365386963e-10
sensitivity,sensitivity_pre_break,pm25,lri,dalys,High SDI,Both,1990,1998,1998,raw_common_age_set,endpoint_direct,2584620.291625652,2110948.5655402807,-473671.72608537134,2584620.291625652,2110948.5655402807,0.0,0.0,2057966635.6512623,2183120948.069537,138798.83932257516,-194357.94250963817,-620927.6424233918,202815.01952508336,-29.302749494817643,41.032202642935125,131.08817947716813,-42.81763262528559,1.1641532182693481e-10
sensitivity,sensitivity_post_break,pm25,lri,dalys,High SDI,Both,1998,2019,1998,raw_common_age_set,endpoint_direct,2110948.5655402807,1347212.2870548754,-763736.2784854053,2110948.5655402807,1347212.2870548756,0.0,2.3283064365386963e-10,2183120948.069537,2514046105.809277,254143.83649971208,289756.92830899445,-1281628.7057407966,-26008.337553315407,-33.276386582514384,-37.93939563583683,167.8103740577106,3.405408160640678,2.3283064365386963e-10
main,main_overall_1990_2021,pm25,lri,dalys,Japan,Both,1990,2021,,raw_common_age_set,endpoint_direct,83522.51853324179,64568.06956661675,-18954.448966625037,83522.51853324179,64568.069566616745,0.0,-7.275957614183426e-12,123687380.71854454,125509256.85290577,1310.67513820158,93156.81801835632,-100793.79223218503,-12628.149890997896,-6.914868063479,-491.4773211417894,531.7685172998833,66.62367190538497,-1.0913936421275139e-11
main,main_pre_break,pm25,lri,dalys,Japan,Both,1990,2014,2014,raw_common_age_set,endpoint_direct,83522.51853324179,118585.11073953728,35062.59220629549,83522.51853324179,118585.11073953728,0.0,0.0,123687380.71854454,127454103.51162513,3254.8223641183126,89113.00509021012,-62660.28910064737,5355.053852614408,9.282891421627145,254.15406985855958,-178.70980197920653,15.272840699019701,2.1827872842550278e-11
main,main_post_break,pm25,lri,dalys,Japan,Both,2014,2021,2014,raw_common_age_set,endpoint_direct,118585.11073953728,64568.06956661675,-54017.04117292053,118585.11073953728,64568.069566616745,0.0,-7.275957614183426e-12,127454103.51162513,125509256.85290577,-1416.5816617699481,19060.71745801527,-54256.101962305715,-17405.07500686015,2.622471781146168,-35.28648930806426,100.44256550191244,32.22145202500567,7.275957614183426e-12
sensitivity,sensitivity_overall_1990_2019,pm25,lri,dalys,Japan,Both,1990,2019,,raw_common_age_set,endpoint_direct,83522.51853324179,80274.03795659803,-3248.480576643764,83522.51853324179,80274.03795659803,0.0,0.0,123687380.71854454,126394432.30613585,2050.3658299834847,93475.42048980697,-84109.48941291649,-14664.777483517717,-63.117687842291595,-2877.512064005723,2589.1947767105316,451.4349751374823,-1.5006662579253316e-11
sensitivity,sensitivity_pre_break,pm25,lri,dalys,Japan,Both,1990,2012,2012,raw_common_age_set,endpoint_direct,83522.51853324179,118151.89669384861,34629.37816060682,83522.51853324179,118151.89669384861,0.0,0.0,123687380.71854454,127795471.72886766,3484.2220802572624,82083.02228151391,-52703.91147835508,1766.0452771907567,10.061463027426788,237.03290859230245,-152.19421854449936,5.099846924770218,-2.9103830456733704e-11
sensitivity,sensitivity_post_break,pm25,lri,dalys,Japan,Both,2012,2019,2012,raw_common_age_set,endpoint_direct,118151.89669384861,80274.03795659803,-37877.858737250586,118151.89669384861,80274.03795659803,0.0,0.0,127795471.72886766,126394432.30613585,-1103.2389571143037,22070.18348816902,-41797.79410416517,-17047.009164140127,2.912622291474293,-58.26671365259707,110.34888321989429,45.005208141228486,0.0
main,main_overall_1990_2021,pm25,lri,dalys,Republic of Korea,Both,1990,2021,,raw_common_age_set,endpoint_direct,26307.218912290416,43407.79653324078,17100.57762095036,26307.218912290413,43407.79653324078,-3.637978807091713e-12,0.0,44563740.97152462,52083507.14753976,5164.844101751349,25427.889404371406,-15850.578281030199,2358.422395857806,30.20274645824691,148.69608482241583,-92.69030925371342,13.791477973050698,0.0
main,main_pre_break,pm25,lri,dalys,Republic of Korea,Both,1990,2004,2004,raw_common_age_set,endpoint_direct,26307.218912290416,14322.686108005379,-11984.532804285038,26307.218912290413,14322.686108005379,-3.637978807091713e-12,0.0,44563740.97152462,48044208.00458822,1559.6221739400746,4075.688525629134,-18209.538883201672,589.6953793474282,-13.013625140084192,-34.007904957061676,151.94200041482551,-4.92047031767967,-1.8189894035458565e-12
main,main_post_break,pm25,lri,dalys,Republic of Korea,Both,2004,2021,2004,raw_common_age_set,endpoint_direct,14322.686108005379,43407.79653324078,29085.110425235398,14322.686108005379,43407.79653324078,0.0,0.0,48044208.00458822,52083507.14753976,2138.830605349585,17787.58028455638,7936.170728485126,1222.5288068443053,7.35369601173613,61.156997599442384,27.28602577901643,4.203280609805046,0.0
sensitivity,sensitivity_overall_1990_2019,pm25,lri,dalys,Republic of Korea,Both,1990,2019,,raw_common_age_set,endpoint_direct,26307.218912290416,46917.0048544205,20609.785942130082,26307.218912290413,46917.0048544205,-3.637978807091713e-12,0.0,44563740.97152462,52390584.32615163,5513.164861850633,24661.205793383644,-11395.522814456614,1830.9381013524162,26.750228640564096,119.65774832707862,-55.29180577835178,8.883828810709051,0.0
sensitivity,sensitivity_pre_break,pm25,lri,dalys,Republic of Korea,Both,1990,2005,2005,raw_common_age_set,endpoint_direct,26307.218912290416,14605.42205340549,-11701.796858884927,26307.218912290413,14605.422053405491,-3.637978807091713e-12,1.8189894035458565e-12,44563740.97152462,48243481.186982945,1657.675530439501,4669.300320205996,-18637.967960210328,609.1952506799058,-14.165991346712389,-39.90242162391236,159.27441045995351,-5.2059974893288015,-1.8189894035458565e-12
sensitivity,sensitivity_post_break,pm25,lri,dalys,Republic of Korea,Both,2005,2019,2005,raw_common_age_set,endpoint_direct,14605.42205340549,46917.0048544205,32311.582801015007,14605.422053405491,46917.0048544205,1.8189894035458565e-12,0.0,48243481.186982945,52390584.32615163,2324.973233738388,16148.410724092884,13051.24571439506,786.9531287886712,7.195479243639384,49.977157799851305,40.39184893779044,2.4355140187188558,3.637978807091713e-12
main,main_overall_1990_2021,pm25,lri,deaths,China,Both,1990,2021,,raw_common_age_set,endpoint_direct,38679.26372486322,26449.23154579689,-12230.032179066333,38679.26372486322,26449.23154579689,0.0,0.0,1179137926.6356301,1428242111.8436134,7652.903271302232,10193.058603974278,-62791.298405399524,32715.304351056697,-62.57467813045828,-83.34449537607381,513.4189140800213,-267.49974057348925,-1.4551915228366852e-11
main,main_pre_break,pm25,lri,deaths,China,Both,1990,2014,2014,raw_common_age_set,endpoint_direct,38679.26372486322,31553.163767617458,-7126.099957245766,38679.26372486322,31553.163767617458,0.0,0.0,1179137926.6356301,1372033341.6458242,6409.02172618682,6689.732937062271,-59174.46416830281,38949.609547807944,-89.93729760512514,-93.87649594025412,830.3905996734532,-546.5768061280738,8.185452315956354e-12
