analysis_window,period_label,risk,cause,measure,location_name,sex_name,start_year,end_year,breakpoint_year,paf_variant,time_path_variant,total_start,total_end,delta_total,observed_total_start,observed_total_end,observed_identity_gap_start,observed_identity_gap_end,population_total_start,population_total_end,population_growth_contribution,aging_contribution,underlying_rate_change_contribution,paf_change_contribution,population_growth_percent_of_delta,aging_percent_of_delta,underlying_rate_change_percent_of_delta,paf_change_percent_of_delta,residual
sensitivity,sensitivity_pre_break,ozone,copd,dalys,China,Female,1990,2007,2007,raw,endpoint_direct,376792.53815465677,1044763.4466115069,667970.9084568501,376792.53815465677,1044763.4466115069,0.0,0.0,571479943.0061843,639635769.9825664,75520.04984746916,275646.6446326039,-782.442868341585,317586.65684511856,11.305889057644137,41.26626491405206,-0.11713726727249077,47.54498329557629,0.0
sensitivity,sensitivity_post_break,ozone,copd,dalys,China,Female,2007,2019,2007,raw,endpoint_direct,1044763.4466115069,573168.1843193666,-471595.2622921403,1044763.4466115069,573168.1843193666,0.0,0.0,639635769.9825664,692329321.1159679,66601.97458406175,370774.266251552,-521560.34127048665,-387411.1618572673,-14.122697980541558,-78.62128734064075,110.59490689866055,82.14907842252171,-5.820766091346741e-11
main,main_overall_1990_2021,ozone,copd,dalys,China,Male,1990,2021,,raw,endpoint_direct,929678.2216808483,720886.7191346657,-208791.5025461826,929678.2216808483,720886.7191346656,0.0,-1.1641532182693481e-10,607657983.6294457,731291506.0297672,186749.60360564035,974178.1467019214,-1241007.6416619492,-128711.61119179579,-89.4431053602544,-466.57940329082254,594.3765079172466,61.64600073383066,6.984919309616089e-10
main,main_pre_break,ozone,copd,dalys,China,Male,1990,2007,2007,raw,endpoint_direct,929678.2216808483,1651689.1378649413,722010.916184093,929678.2216808483,1651689.1378649413,0.0,0.0,607657983.6294457,671787991.7813324,131802.43051358504,627172.5573532569,-597313.234226742,560349.1625439933,18.254908278973865,86.86469183429148,-82.72911403938433,77.60951392611905,-3.4924596548080444e-10
main,main_post_break,ozone,copd,dalys,China,Male,2007,2021,2007,raw,endpoint_direct,1651689.1378649413,720886.7191346657,-930802.4187302756,1651689.1378649413,720886.7191346656,0.0,-1.1641532182693481e-10,671787991.7813324,731291506.0297672,105658.873304803,615859.8785091756,-985714.6412233812,-666606.5293208727,-11.351375026392194,-66.16440461653303,105.8994499141947,71.61632972873048,-3.4924596548080444e-10
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,China,Male,1990,2019,,raw,endpoint_direct,929678.2216808483,804161.9306926959,-125516.29098815238,929678.2216808483,804161.9306926959,0.0,0.0,607657983.6294457,725949268.2104272,183045.7239144463,914203.7808517158,-1183165.3958156619,-39600.399938653405,-145.83423591741106,-728.3546810174693,942.6389088627086,31.550008072172343,7.566995918750763e-10
sensitivity,sensitivity_pre_break,ozone,copd,dalys,China,Male,1990,2007,2007,raw,endpoint_direct,929678.2216808483,1651689.1378649413,722010.916184093,929678.2216808483,1651689.1378649413,0.0,0.0,607657983.6294457,671787991.7813324,131802.43051358504,627172.5573532569,-597313.234226742,560349.1625439933,18.254908278973865,86.86469183429148,-82.72911403938433,77.60951392611905,-3.4924596548080444e-10
sensitivity,sensitivity_post_break,ozone,copd,dalys,China,Male,2007,2019,2007,raw,endpoint_direct,1651689.1378649413,804161.9306926959,-847527.2071722454,1651689.1378649413,804161.9306926959,0.0,0.0,671787991.7813324,725949268.2104272,98648.5488487489,528544.7960329304,-896341.6253426572,-578378.9267112677,-11.639573103250274,-62.36316563764457,105.75962845290596,68.24311028798891,2.3283064365386963e-10
main,main_overall_1990_2021,ozone,copd,dalys,East Asia,Both,1990,2021,,raw,endpoint_direct,1324746.2756863206,1322777.414609918,-1968.8610764027108,1324746.2756863206,1322777.4146099177,0.0,-2.3283064365386963e-10,1220394792.6352584,1478025007.6619742,296730.6691719491,1455374.98558556,-1617098.4739268876,-136976.04190702472,-15071.183677118712,-73919.63826338948,82133.70121986841,6957.120720639796,4.3655745685100555e-10
main,main_pre_break,ozone,copd,dalys,East Asia,Both,1990,2007,2007,raw,endpoint_direct,1324746.2756863206,2734920.801926243,1410174.5262399225,1324746.2756863206,2734920.801926243,0.0,0.0,1220394792.6352584,1359303771.5458698,216734.17163479546,910347.885156002,-599322.8755244567,882415.3449735814,15.369315471375987,64.55568925807687,-42.49990794561339,62.57490321616051,4.656612873077393e-10
